"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.53206242706918,0.799,0.123,0,"0","LTB"
0,2.50539378380277,0.613,0.085,0,"0","KLRB1"
0,2.4934245914575,0.939,0.162,0,"0","TRAC"
0,2.3582201135054,0.963,0.156,0,"0","CD3D"
0,2.17672376778636,0.513,0.082,0,"0","TNFRSF4"
0,2.16922760660264,0.857,0.113,0,"0","CD2"
0,2.11260206186883,0.594,0.108,0,"0","TRBC1"
0,2.0496740835353,0.794,0.151,0,"0","TRBC2"
0,1.96515002019963,0.981,0.458,0,"0","CREM"
0,1.95454483933272,0.997,0.767,0,"0","SARAF"
0,1.85113192568616,0.767,0.094,0,"0","SPOCK2"
0,1.84799737157203,0.974,0.423,0,"0","ARHGDIB"
0,1.7828138545813,0.858,0.126,0,"0","CD3E"
0,1.77963589735279,0.99,0.746,0,"0","IL32"
0,1.76535206218043,0.911,0.269,0,"0","CD52"
0,1.75560293826294,0.572,0.041,0,"0","ICOS"
0,1.69770617137656,0.971,0.634,0,"0","S100A4"
0,1.69301502085198,0.647,0.126,0,"0","IL7R"
0,1.67996900365345,1,0.887,0,"0","BTG1"
0,1.63198406218748,0.805,0.15,0,"0","CD7"
0,1.61973194282964,0.496,0.112,0,"0","TNFRSF18"
0,1.61643261178561,0.444,0.074,0,"0","BATF"
0,1.59406511835546,0.653,0.123,0,"0","RORA"
0,1.58818907679988,0.792,0.326,0,"0","LEPROTL1"
0,1.53832543030694,0.86,0.293,0,"0","CORO1A"
0,1.48721717478757,0.999,0.541,0,"0","SRGN"
0,1.47396509281018,0.845,0.298,0,"0","CXCR4"
0,1.42442913179723,0.809,0.239,0,"0","PTPRC"
0,1.42361225803718,1,0.997,0,"0","B2M"
0,1.41946222770874,0.836,0.354,0,"0","RGS1"
0,1.356373225336,0.732,0.303,0,"0","IL2RG"
0,1.32504641514869,0.773,0.31,0,"0","GMFG"
0,1.29772399269694,0.906,0.491,0,"0","TSC22D3"
0,1.2845641284626,0.631,0.112,0,"0","LCK"
0,1.27013268070604,0.64,0.148,0,"0","FYB"
0,1.26856070781195,0.59,0.085,0,"0","CD3G"
0,1.22788572671126,0.521,0.28,0,"0","DUSP4"
0,1.22055724141698,0.707,0.266,0,"0","RAC2"
0,1.21650106098183,0.615,0.176,0,"0","EVL"
0,1.18791696155986,0.582,0.131,0,"0","CLEC2D"
0,1.18771927298663,0.64,0.261,0,"0","STK17B"
0,1.18735053032018,1,0.983,0,"0","HLA-A"
0,1.1669900258406,0.546,0.2,0,"0","NR3C1"
0,1.16406453312346,0.636,0.23,0,"0","CYTIP"
0,1.15351577695506,0.355,0.069,0,"0","TIGIT"
0,1.15193412146574,0.634,0.347,0,"0","ANKRD12"
0,1.13734577802292,0.652,0.226,0,"0","SAMSN1"
0,1.13678470319983,0.386,0.027,0,"0","CCR6"
0,1.12898349727085,0.811,0.506,0,"0","YPEL5"
0,1.11583247648909,0.617,0.207,0,"0","CD69"
0,1.11098132374461,0.597,0.195,0,"0","RHOH"
0,1.10856384693755,0.542,0.15,0,"0","ITM2A"
0,1.10604932752565,0.606,0.166,0,"0","FYN"
0,1.10331410532964,0.62,0.337,0,"0","BIRC3"
0,1.08791862794981,0.645,0.314,0,"0","CDC42SE2"
0,1.07463177601027,0.46,0.051,0,"0","CD6"
0,1.0706246526993,1,1,0,"0","RPS27"
0,1.07025872803934,0.696,0.401,0,"0","ISG20"
0,1.06246326801244,1,0.999,0,"0","RPS29"
0,1.05594798146358,0.864,0.311,0,"0","LAPTM5"
0,1.05277542070655,0.503,0.158,0,"0","PBXIP1"
0,1.05081033855645,0.907,0.704,0,"0","FXYD5"
0,1.03790596007306,1,0.938,0,"0","HLA-B"
0,1.01441360022244,1,0.987,0,"0","HLA-C"
0,1.00808510571062,0.451,0.071,0,"0","LAT"
0,1.00054767372859,0.525,0.181,0,"0","CNOT6L"
0,1.00029740477523,0.408,0.051,0,"0","TNFRSF25"
0,0.98714172636516,0.575,0.302,0,"0","EML4"
0,0.980148762817205,0.619,0.339,0,"0","RHOG"
0,0.976518108990179,0.769,0.436,0,"0","TNFAIP3"
0,0.97515550576112,0.523,0.18,0,"0","LIMD2"
0,0.954403721174912,0.703,0.24,0,"0","CD37"
0,0.952040109342335,0.487,0.134,0,"0","GNG2"
0,0.948351144774878,0.496,0.238,0,"0","UCP2"
0,0.945652811420928,0.591,0.36,0,"0","PPP2R5C"
0,0.945432245087354,0.614,0.259,0,"0","GPSM3"
0,0.943917911761246,1,0.999,0,"0","TMSB4X"
0,0.943471689113474,0.579,0.289,0,"0","RP11-138A9.1"
0,0.939248480422743,0.365,0.047,0,"0","TRAT1"
0,0.938136897893365,0.508,0.182,0,"0","SEPT6"
0,0.937190949360879,0.665,0.436,0,"0","DDX24"
0,0.929504106256549,0.619,0.254,0,"0","CD48"
0,0.929202774938906,0.531,0.15,0,"0","ACAP1"
0,0.927793974795053,0.632,0.511,0,"0","FAM177A1"
0,0.908342487017885,0.653,0.268,0,"0","CD53"
0,0.90764891187818,0.445,0.072,0,"0","CD247"
